name,brand,category,price,size,ingredients,image_url
Gel moussant Keracnyl,DUCRAY,Other,30,200 ml,"water (aqua), zinc coceth sulfate, ceteareth-60 myristyl glycol. glycerin, lauryl betaine, decyl glucoside, polysorbate 20, trideceth-9, blue 1 (ci 42090), citric acid, fragrance (parfum), glyceryl laurate, myrtus communis leaf extract, peg-40 hydrogenated castor oil. peg-5 ethylhexanoate, ppg-26-buteth-26, sodium benzoate, sodium chloride, sodium hydroxide, trisodium ethylenediamine disuccinate",https://images.openbeautyfacts.org/images/products/328/277/014/1351/front_fr.13.200.jpg
Pure Active Intensif 3 en 1 Anti-points noirs incrustés,"L'Oréal, L'Oreal Consumer products, Garnier, Garnier SkinActive",Other,10,150 ml,"aqua, kaolin, glycerin, butylene glycol, zea mays starch / corn starch, decyl glucoside, ci 77499 / iron oxides, perlite, sodium laureth sulfate, peg-7 glyceryl cocoate, carrageenan, charcoal powder, citric acid, phenoxyethanol, polyglycerin-10, polyglyceryl-10 myristate, polyglyceryl-10 stearate, propylene glycol, pumice, salicylic acid, sodium dehydroacetate, sodium hydroxide, sorbitol, tetrasodium edta, tocopherol, vaccinium myrtillus fruit extract, xanthan gum, zinc gluconate, parfum / fragrance",https://images.openbeautyfacts.org/images/products/360/054/189/5478/front_fr.4.200.jpg
Pure Active 3 en 1,Garnier,Other,24,150 ml,"aqua/water, kaolin, glycerin, butylene glycol, zea mays starch/corn starch, ci 77891/titanium dioxide, decyl glucoside, polyethylene, sodium laureth sulfate, chondrus crispus (carrageenan), peg-7 glyceryl cocoate, benzyl salicylate, ci 42090/blue 1 lake, eucalyptus globulus extract/eucalyptus globulus leaf extract, limonene, linalool, menthol, phenoxyethanol, propylene glycol, pumice, salicylic acid, smithsonite/smithsonite extract, sodium hydroxide, tetrasodium edta, xanthan gum, zinc gluconate, parfum/fragrance (fil b43449/1)",https://images.openbeautyfacts.org/images/products/360/054/067/6627/front_fr.7.200.jpg
Eau micellaire sensitive,Cien,Other,16,varies,"aqua, methylpropanediol, propylene ?cerin, sodium cocoamphoacetate, panthenol, bambusa vulgaris water, sodium salicylate, sodium benzoate, citric acid, sodium chloride, tetrasodium edta",https://images.openbeautyfacts.org/images/products/000/002/086/4781/front_fr.4.200.jpg
Soin des lèvres Antidessèchement,"Mixa, Mixa Intensif, Mixa Intensif Peaux sèches",Other,33,"2 * 4,7 ml","603777 6, ingredients : cera microcristallina / microcrystalline wax, polybutene, hydrogenated polyisobutene, ricinus communis / castor seed oil, myristyl myristate, octyldodecanol, peg-5 pentaerythrityl ether, ppg-5 pentaerythrityl ether, polyglyceryl-3 beeswax, butyrospermum parkii / shea butter, ozokerite, cetyl palmitate, glycine soja / soybean sterols, allantoin, ascorbyl palmitate, citronellol, ethylhexyl methoxycinnamate, linalool, tocopheryl acetate, parfum / fragrance, ci 77891 / titanium dioxide. (f.i.l b12113/1)",https://images.openbeautyfacts.org/images/products/305/832/004/8117/front_fr.7.200.jpg
Cavani 9 - Gel douche hydratant originale édition limitée,"Nivea, Nivea Men",Other,18,250 ml,"aqua, sodium laureth sulfate, glycerin, cocamidopropyl betaine, peg-7 glyceryl cocoate, glyceryl glucoside, aloe barbadensis leaf juice powder, helianthus annuus seed oil, sodium chloride, polyquaternium-7, peg-40 hydrogenated castor oil, styrene/acrylates copolymer, citric acid, peg-200 hydrogenated glyceryl palmate, sodium benzoate, limonene, linalool, parfum",https://images.openbeautyfacts.org/images/products/400/580/890/5935/front_fr.5.200.jpg
Solution micellaire nettoyante-purifiante,Bioderma,Other,16,500 ml,"water, peg-6 caprylic/capric glycerides, sodium citrate, zinc gluconate, copper sulfate, citric acid, disodium edta, cetrimonium bromide, parfum",https://images.openbeautyfacts.org/images/products/340/157/564/5851/front_fr.6.200.jpg
Skin Active Biphase Micellaire Tout en 1,"l-oreal, l-oreal-consumer-products, garnier",Other,13,400 ml,"aqua / water, cyclopentasiloxane, isohexadecane, argania spinosa oil / argania spinosa kernel oil, benzyl alcohol, benzyl salicylate, butyl methoxydibenzoylmethane, ci 60725 / violet 2, decyl glucoside, dipotassium phosphate, disodium edta, ethylhexyl methoxycinnamate, ethylhexyl salicylate, geraniol, haematococcus pluvialis / haematococcus pluvialis extract, hexylene glycol, limonene, linalool, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, polyaminopropyl biguanide, potassium phosphate, sodium chloride, parfum / fragrance. (f.i.l. b176670/1)",https://images.openbeautyfacts.org/images/products/360/054/174/4509/front_fr.3.200.jpg
Baume après-rasage peau sensible,"Nivea,Nivea Men",Other,23,100 ml,"aqua, glycerin, isopropyl palmitate, chamomilla recutita flower extract, tocopheryl acetate, hamamelis virginiana bark/leaf extract, maltodextrin, tapioca starch, triceteareth-4 phosphate, sodium carbomer, caprylic/capric triglyceride, phenoxyethanol, piroctone olamine, parfum",https://images.openbeautyfacts.org/images/products/400/580/822/1851/front_en.22.200.jpg
Gelée De Nuit Anti-âge à L'argan Bio,"Léa Nature, So Bio Etic",Other,28,varies,"isopropyi palmitatet helianthus annuus (sunflower) seed oil, argania spinosa kernei oil*. coco-caprylate/caprate, isopropyl myristate, coco-caprflate, dicaprylyl carbonate, dextrin palmitate, hexyldecanol, hexyldecyl laurate, parfum (fragrance), argan oil aminopropanediol esters, tocopherol, linalool, limonene, benzyl salicylate, anise alcohol, amyl cinnamal, geraniol, cl 75120 (annatto), ascorbyl palmitate",https://images.openbeautyfacts.org/images/products/351/736/000/8661/front_fr.8.200.jpg
Lift + Nourrissant Soin Anti-Rides Ultra Fermeté Nuit,"Henkel, Diadermine",Anti-Aging,19,50 ml,"aqua, hexanediol, caprylic/caprlc triglyceride, cetearyl alcohol, glycerin, dicaprylyl carbonate, behenyl alcohol, betaine, cocoglycerides, glycelyl stearate, prunus amygdalus dulcis oil, butyrospermum parkii butter, cetearyl glucoside, hydrolyzed yeast prolein, hydrolyzed soy protein, dimethylsilanol hyaluronate, lecithin, tocopherol, aluminum starch octenylsuccinate, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, squalane, butylene glycol, pentylene glycol, dimethicone, sodium carbomer, hydrogenated palm glycerides citrate, polysorbate 60, propylene glycol, parfum, phenoxyethanol, methylparaben, ethylparaben, cl 77891, cl 16035",https://images.openbeautyfacts.org/images/products/401/500/092/3989/front_fr.5.200.jpg
Effaclar Mat Daily Moisturizer for Oily Skin,La Roche-Posay,Other,38,40 mL,"aqua/water, glycerin, dimethicone, isocetyl stearate, alcohol denat, silica [nano]/silica, dimethicone/vinyl dimethicone crosspolymer, acrylamide/sodium acryloyldimethyltaurate copolymer, methyl methacrylate crosspolymer, butylene glycol, peg-100 stearate, cocamide mea, sarcosine, glyceryl stearate, triethanolamine, isohexadecane, perlite, capryloyl salicylic acid, tetrasodium edta, pentylene glycol, polysorbate 80, acrylates/c10-30 alkyl acrylate crosspolymer, salicylic acid, parfum/fragrance",https://images.openbeautyfacts.org/images/products/333/787/241/3025/front_en.16.200.jpg
Stick lèvres anti-dessèchement bio,Dermophil,Other,31,varies,"helianthus annuus seed oil, cera alba, sesamum indicum seed oil, glyceryl/polyglyceryl-6 isostearate/behenate esters, papaver somniferum seed oil, simmondsia chinensis seed oil, theobroma cacao seed butter, copernicia cerifera cera, aroma, limonene, topcopherol, rosmarinus officinalis extract, linalool",https://images.openbeautyfacts.org/images/products/341/590/003/1486/front_fr.27.200.jpg
Hydro Boost Aqua-Gel,Neutrogena,Other,14,50 ml,"aqua, dimethicone, glycerin, dimethicone/vinyl dimethicone crosspolymer, sodium hyaluronate, ethylhexylglycerin, dimethiconol, cetearyl olivate, sorbitan olivate, laureth-7, c12-14 pareth-12 polyacrylamide, dimethicone crosspolymer, carbomer, c13-14 isoparaffin, sodium hydroxide, phenoxyethanol, chlorphenesin, methylparaben, benzoic acid, parfum, ci 42090",https://images.openbeautyfacts.org/images/products/357/466/128/7201/front_en.10.200.jpg
Hydratant Matifiant Soin de jour PH7,"Henkel, Diadermine",Other,19,50 ml,"aqua, caprylic/ capric triglyceride, hexanediol, glycerin, ethylhexyl palmitate, behenyl alcohol, sorbitol, talc, ethylhexyl triazone, butyl methoxydibenzoylmethane, taurine, panthenol, tocopheryl acetate, tocopherol, allantoin, zinc gluconate, hamamelis virginiana water, dimethicone, potassium cetyl phosphate, sodium carbomer, hydrogenated palm glycerides, alcohol denat, tetrasodium edta, hydrogenated palm glycerides citrate, parfum, phenoxyethanol, sodium methylparaben, sodium propylparaben, ci 16035, ci 77891",https://images.openbeautyfacts.org/images/products/317/804/404/8535/front_fr.5.200.jpg
Expert Rides 3D Activateur Hyaluronique Crème Anti-rides Nuit,"henkel, diadermine, Diadermine",Other,20,50 ml,"aqua, caprylic/capric triglyceride, glycerin, hexanediol, arachidyl alcohol, behenyl alcohol, cetearyl lsononanoate, carthamus tinctorius seed oil, hexyldecanol, glyceryl stearate, cocoglycerides, butyrospermum parkii butter, micrococcus lysate, palmitoyl oligopeptide, palmitoyl tetrapeptide-7, pyrus malus seed extract, dimethylsilanol hyaluronate, lecithin, tocopherol, bis-ethylhexyl hydroxydimethoxy benzylmalonate, sodium lactate, sorbltan oleate, cetearyl alcohol, dimethicone, tapioca starch, arachidyl glucoside, butylene glycol, sodium acrylate/sodium acryloyldimethyl taurate copolymer, polyisobutene, hydrogenated palm glycerides citrate, polymethylsilsesquioxane, sodium carbomer, coco-glucoside, parfum, ethylhexylglycerin, phenoxyethanol, cl 16035, cl 77891",https://images.openbeautyfacts.org/images/products/317/804/055/4931/front_fr.12.200.jpg
